,0
15,0.06949346664493476
20,0.06344771666801689
11,0.05879216746870141
13,0.05810420663012574
9,0.04852102126135937
4,0.048442096593824285
5,0.04380984722375001
18,0.0438000986873274
7,0.04322068694751608
16,0.04283311689180836
1,0.04099681299625234
8,0.03998644381653472
19,0.03856921475866697
6,0.03579310254853921
10,0.03503032401440316
14,0.03317752330316068
0,0.032799041999262875
24,0.03193774548617371
3,0.03188413100418371
2,0.03042110807989127
12,0.028688146801485192
22,0.02672729036915935
23,0.026177122882272478
17,0.02399257942749462
21,0.0233549874951555
